['bell tower', 'nuclear lab', 'wesley church', 'talbot', 'monument_on_engr_quad', 'alma', 'morrow_plots', 'cemetery', 'weather', 'label']
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
